incident_id,date,description,location,crime_type,source,year,month,day,hour
daf9850f1a38d51f1f5c2d400dc9e8b34e90225492f4853e32edc97da0354c20,2024-12-07 05:42:34,"Nearly four days after the shooting of UnitedHealthcare CEO Brian Thompson, police still do not know the gunman’s name or whereabouts or have a motive for the killing",ABC News,news_report,newsapi,2024,12,07,05
534ac4a77d1a5828580d91c7fcf695e8ca5d3fc592b4b03fdf3de1b2bf737501,2024-12-07 05:39:29,"Nearly four days after the shooting of UnitedHealthcare CEO Brian Thompson, police still do not know the gunman’s name or whereabouts or have a motive for the killing. But they have made some progress in their investigation into Wednesday's killing of the lea…",seattlepi.com,news_report,newsapi,2024,12,07,05
d394e076f387698ec5ca030e184cf46b85099e4dd37f6a37cd9235220d3607a7,2024-12-07 05:34:55,"Nearly four days after the shooting of UnitedHealthcare CEO Brian Thompson, police still do not know the gunman’s name or whereabouts or have a motive for the killing",ABC News,news_report,newsapi,2024,12,07,05
529cbdf6098825c056354b68018be7f008b08138eec198a0360a7774d6427d15,2024-12-07 05:34:47,The northeastern state of Tripura does not have a history of inter-religious clashes. That's changing under Modi's BJP.,Al Jazeera English,news_report,newsapi,2024,12,07,05
41d4eb87a78b2821f3e0700e90231b947a9596d82c44a2717d2192580c906da3,2024-12-07 05:34:23,The fatal shooting of UnitedHealthcare's CEO has opened the door for many people to vent their frustrations and anger over the insurance industry,ABC News,news_report,newsapi,2024,12,07,05
d46b94f314aafcfde90a1ec8d5e43876e51e52d32d147909b99d8d3f76448aa5,2024-12-07 05:32:22,"Police Find Backpack in Central Park, a Possible Link to Gunman Who Killed C.E.O.The New York Times UnitedHealthcare CEO Brian Thompson murder manhunt enters 3rd dayFox News Health care executive’s killer evades police for fourth day as backpack, DNA and bull…",Slashdot.org,news_report,newsapi,2024,12,07,05
700735b296536da18b6bcf9aa7e5dd25a86cd73e5164cc6ff35be84b16d1628d,2024-12-07 05:29:00,[Removed],[Removed],news_report,newsapi,2024,12,07,05
3e6f074413a9f8a301ca4fcd5ef9e7906051b3b2eff5cda1f0ce8785151c6040,2024-12-07 05:21:07,"The fatal shooting of UnitedHealthcare's CEO has opened the door for many people to vent their frustrations and anger over the insurance industry. The feelings of exasperation, anger, resentment, and helplessness toward insurers aren’t new. But the shooting a…",seattlepi.com,news_report,newsapi,2024,12,07,05
476365eafad10fc970be1c8cd54f73f14afb616d4bfe4494b28ec686b95e2147,2024-12-07 05:20:57,"Deoria police apprehended Deepak Mishra, the prime suspect in the Nihal Singh murder case, after a brief encounter on Saturday. Mishra sustained a leg injury during the encounter and is currently receiving medical treatment. Police recovered an illegal firear…",The Times of India,news_report,newsapi,2024,12,07,05
bebc546d21fa6944a21674e7b41f24d34a9c13dfab0472e8060390aa63aea7de,2024-12-07 05:18:40,The fatal shooting of UnitedHealthcare's CEO has opened the door for many people to vent their frustrations and anger over the insurance industry,ABC News,news_report,newsapi,2024,12,07,05
3cb15a29ea75e4c4bc5412b30c9a675b5327376f7e9872144276e4b72d7a21f6,2024-12-07 05:10:00,[Removed],[Removed],news_report,newsapi,2024,12,07,05
ea3a3c2e114ca9e36a09b2812dfbc127b80cb654235f4d3ba219286aa17c1fd3,2024-12-07 05:05:09,"Four days after a health care executive was shot and killed in Manhattan, police are piecing together clues, including a backpack, photos, video, ammunition, DNA and more, to help zero in on a suspect, who they believe is no longer in the city.",CNN,news_report,newsapi,2024,12,07,05
dc97679c89afa08470fae14aebde7d90f84099a65d9f5b5b96e012216f1db666,2024-12-07 05:04:20,"By Jeff Sparrow, The University of Melbourne (The Conversation) - We must ask for no references to Gaza/Palestine/Israel as it’s a very sensitive topic in our area. If these topics are included it drastically changes our risk management plans for events. Thus…",Juancole.com,news_report,newsapi,2024,12,07,05
cef9be54e32c845ea5d3a5b2ca565c3a80e024432d7c530d6f8e03d1f4a969b6,2024-12-07 05:02:47,The shooting death of high-ranking UnitedHealth Group Inc. executive Brian Thompson has uncovered a deep anger among Americans who say the health insurance industry has too often failed to cover large medical bills and stood in the way of necessary care.,Honolulu Star-Advertiser,news_report,newsapi,2024,12,07,05
67a29c22a771b19fdf3bf433b8ba71374a9292b7ce292bf3f313b8c46c20f3b9,2024-12-07 05:00:35,"The FBI had joined the investigation into the brazen murder of UnitedHealthcare CEO Brian Thompson outside of a luxury Manhattan hotel, the bureau confirmed Friday.",New York Post,news_report,newsapi,2024,12,07,05
c5e26197ffee6e3d73ccd783c8bf38197094fe81a9b77edd13917e7b0d6b4f98,2024-12-07 05:00:00,"Former police officers defend the force they served, but feel increasingly forgotten",The Irish Times,news_report,newsapi,2024,12,07,05
f760fddede48e08dea29f48ba506a2bf2a84bb59e8783c7878dda9560abcab86,2024-12-07 05:00:00,"Who is legally responsible for a vehicle accident that happens on private property? The answer depends on several factors, but unlike accidents that happen on public roads where the state generally has no liability, a private property owner can be he...",Americanthinker.com,news_report,newsapi,2024,12,07,05
d98effe34abfe027d9aa887cc3acf117a73bfc042dc08cc1fd012bd79b193462,2024-12-07 05:00:00,"Since President Trump nominated Pete Hegseth as the next U.S. Defense Secretary, the knives have been out for him.

First, they belittled him by claiming he was merely co-host of “Fox & Friends Weekend.",Americanthinker.com,news_report,newsapi,2024,12,07,05
