source,last_fetch,status,records_count,created_at,updated_at
test_source,2024-12-08 19:24:46.282984,success,2,2024-12-08 18:55:50.476939,2024-12-08 19:24:46.282986
newsapi,2024-12-09 06:20:40.411355,success,64,2024-12-08 19:46:51.085641,2024-12-09 06:20:40.411356
